n,m,time,name
1601,1000,794,Dijkstra
1601,1000,780,Dijkstra
1601,1000,732,Dijkstra
2017,1000,950,Dijkstra
2017,1000,717,Dijkstra
2017,1000,795,Dijkstra
2017,1000,748,Dijkstra
2017,1000,795,Dijkstra
2017,1000,826,Dijkstra
2017,1000,794,Dijkstra
2017,1000,748,Dijkstra
2017,1000,779,Dijkstra
2017,1000,779,Dijkstra
2542,1000,826,Dijkstra
2542,1000,857,Dijkstra
2542,1000,873,Dijkstra
2542,1000,810,Dijkstra
2542,1000,763,Dijkstra
2542,1000,873,Dijkstra
2542,1000,842,Dijkstra
2542,1000,748,Dijkstra
2542,1000,795,Dijkstra
2542,1000,873,Dijkstra
3203,1000,826,Dijkstra
3203,1000,936,Dijkstra
3203,1000,920,Dijkstra
3203,1000,857,Dijkstra
3203,1000,872,Dijkstra
3203,1000,873,Dijkstra
3203,1000,935,Dijkstra
3203,1000,763,Dijkstra
3203,1000,811,Dijkstra
3203,1000,810,Dijkstra
4035,1000,841,Dijkstra
4035,1000,826,Dijkstra
4035,1000,935,Dijkstra
4035,1000,888,Dijkstra
4035,1000,794,Dijkstra
4035,1000,904,Dijkstra
4035,1000,982,Dijkstra
4035,1000,904,Dijkstra
4035,1000,904,Dijkstra
4035,1000,966,Dijkstra
5085,1000,920,Dijkstra
5085,1000,810,Dijkstra
5085,1000,841,Dijkstra
5085,1000,842,Dijkstra
5085,1000,857,Dijkstra
5085,1000,811,Dijkstra
5085,1000,857,Dijkstra
5085,1000,873,Dijkstra
5085,1000,842,Dijkstra
5085,1000,857,Dijkstra
6407,1000,1028,Dijkstra
6407,1000,920,Dijkstra
6407,1000,920,Dijkstra
6407,1000,842,Dijkstra
6407,1000,857,Dijkstra
6407,1000,842,Dijkstra
6407,1000,920,Dijkstra
6407,1000,935,Dijkstra
6407,1000,873,Dijkstra
6407,1000,904,Dijkstra
8073,1000,920,Dijkstra
8073,1000,1013,Dijkstra
8073,1000,904,Dijkstra
8073,1000,966,Dijkstra
8073,1000,904,Dijkstra
8073,1000,919,Dijkstra
8073,1000,967,Dijkstra
8073,1000,935,Dijkstra
8073,1000,920,Dijkstra
8073,1000,1044,Dijkstra
10172,1000,935,Dijkstra
10172,1000,904,Dijkstra
10172,1000,998,Dijkstra
10172,1000,966,Dijkstra
10172,1000,998,Dijkstra
10172,1000,1013,Dijkstra
10172,1000,998,Dijkstra
10172,1000,966,Dijkstra
10172,1000,1075,Dijkstra
10172,1000,982,Dijkstra
12816,1000,1060,Dijkstra
12816,1000,1045,Dijkstra
12816,1000,1028,Dijkstra
12816,1000,1029,Dijkstra
12816,1000,982,Dijkstra
12816,1000,982,Dijkstra
12816,1000,998,Dijkstra
12816,1000,982,Dijkstra
12816,1000,997,Dijkstra
12816,1000,1044,Dijkstra
16149,1000,1060,Dijkstra
16149,1000,1107,Dijkstra
16149,1000,1044,Dijkstra
16149,1000,1153,Dijkstra
16149,1000,1341,Dijkstra
16149,1000,1060,Dijkstra
16149,1000,1092,Dijkstra
16149,1000,1060,Dijkstra
16149,1000,1075,Dijkstra
16149,1000,1044,Dijkstra
20348,1000,1122,Dijkstra
20348,1000,1185,Dijkstra
20348,1000,1138,Dijkstra
20348,1000,1154,Dijkstra
20348,1000,1123,Dijkstra
20348,1000,1185,Dijkstra
20348,1000,1232,Dijkstra
20348,1000,1309,Dijkstra
20348,1000,1138,Dijkstra
20348,1000,1153,Dijkstra
25638,1000,1247,Dijkstra
25638,1000,1247,Dijkstra
25638,1000,1216,Dijkstra
25638,1000,1185,Dijkstra
25638,1000,1138,Dijkstra
25638,1000,1357,Dijkstra
25638,1000,1138,Dijkstra
25638,1000,1263,Dijkstra
25638,1000,1372,Dijkstra
25638,1000,1185,Dijkstra
32304,1000,1231,Dijkstra
32304,1000,1372,Dijkstra
32304,1000,1418,Dijkstra
32304,1000,1278,Dijkstra
32304,1000,1434,Dijkstra
32304,1000,1278,Dijkstra
32304,1000,1247,Dijkstra
32304,1000,1247,Dijkstra
32304,1000,1232,Dijkstra
32304,1000,1216,Dijkstra
40703,1000,1294,Dijkstra
40703,1000,1387,Dijkstra
40703,1000,1512,Dijkstra
40703,1000,1543,Dijkstra
40703,1000,1591,Dijkstra
40703,1000,1496,Dijkstra
40703,1000,1341,Dijkstra
40703,1000,1434,Dijkstra
40703,1000,1419,Dijkstra
40703,1000,1403,Dijkstra
51286,1000,1668,Dijkstra
51286,1000,1559,Dijkstra
51286,1000,1466,Dijkstra
51286,1000,1481,Dijkstra
51286,1000,1466,Dijkstra
51286,1000,1575,Dijkstra
51286,1000,1622,Dijkstra
51286,1000,1496,Dijkstra
51286,1000,1481,Dijkstra
51286,1000,1482,Dijkstra
64621,1000,1669,Dijkstra
64621,1000,1652,Dijkstra
64621,1000,1715,Dijkstra
64621,1000,1637,Dijkstra
64621,1000,1575,Dijkstra
64621,1000,1622,Dijkstra
64621,1000,1731,Dijkstra
64621,1000,1622,Dijkstra
64621,1000,1746,Dijkstra
64621,1000,1871,Dijkstra
81422,1000,1965,Dijkstra
81422,1000,2011,Dijkstra
81422,1000,1777,Dijkstra
81422,1000,2089,Dijkstra
81422,1000,1950,Dijkstra
81422,1000,1981,Dijkstra
81422,1000,1762,Dijkstra
81422,1000,2120,Dijkstra
81422,1000,1731,Dijkstra
81422,1000,1809,Dijkstra
102592,1000,2043,Dijkstra
102592,1000,2074,Dijkstra
102592,1000,1934,Dijkstra
102592,1000,1918,Dijkstra
102592,1000,1934,Dijkstra
102592,1000,2043,Dijkstra
102592,1000,1918,Dijkstra
102592,1000,2136,Dijkstra
102592,1000,1934,Dijkstra
102592,1000,2121,Dijkstra
100,1000,108,Sparse
100,1000,156,Sparse
100,1000,140,Sparse
100,1000,155,Sparse
100,1000,155,Sparse
100,1000,140,Sparse
100,1000,156,Sparse
100,1000,155,Sparse
100,1000,155,Sparse
100,1000,124,Sparse
126,1000,187,Sparse
126,1000,155,Sparse
126,1000,186,Sparse
126,1000,187,Sparse
126,1000,155,Sparse
126,1000,187,Sparse
126,1000,202,Sparse
126,1000,186,Sparse
126,1000,186,Sparse
126,1000,155,Sparse
158,1000,233,Sparse
158,1000,202,Sparse
158,1000,233,Sparse
158,1000,170,Sparse
158,1000,233,Sparse
158,1000,217,Sparse
158,1000,186,Sparse
158,1000,186,Sparse
158,1000,202,Sparse
158,1000,233,Sparse
200,1000,248,Sparse
200,1000,233,Sparse
200,1000,233,Sparse
200,1000,265,Sparse
200,1000,233,Sparse
200,1000,249,Sparse
200,1000,233,Sparse
200,1000,233,Sparse
200,1000,217,Sparse
200,1000,248,Sparse
252,1000,264,Sparse
252,1000,311,Sparse
252,1000,311,Sparse
252,1000,296,Sparse
252,1000,280,Sparse
252,1000,311,Sparse
252,1000,280,Sparse
252,1000,295,Sparse
252,1000,296,Sparse
252,1000,295,Sparse
317,1000,390,Sparse
317,1000,373,Sparse
317,1000,358,Sparse
317,1000,374,Sparse
317,1000,389,Sparse
317,1000,343,Sparse
317,1000,358,Sparse
317,1000,373,Sparse
317,1000,373,Sparse
317,1000,389,Sparse
400,1000,514,Sparse
400,1000,467,Sparse
400,1000,467,Sparse
400,1000,483,Sparse
400,1000,467,Sparse
400,1000,482,Sparse
400,1000,514,Sparse
400,1000,483,Sparse
400,1000,483,Sparse
400,1000,467,Sparse
504,1000,639,Sparse
504,1000,655,Sparse
504,1000,592,Sparse
504,1000,639,Sparse
504,1000,608,Sparse
504,1000,607,Sparse
504,1000,607,Sparse
504,1000,623,Sparse
504,1000,608,Sparse
504,1000,623,Sparse
635,1000,857,Sparse
635,1000,826,Sparse
635,1000,826,Sparse
635,1000,826,Sparse
635,1000,857,Sparse
635,1000,857,Sparse
635,1000,841,Sparse
635,1000,841,Sparse
635,1000,826,Sparse
635,1000,857,Sparse
800,1000,1123,Sparse
800,1000,1138,Sparse
800,1000,1091,Sparse
800,1000,1122,Sparse
800,1000,1216,Sparse
800,1000,1091,Sparse
800,1000,1076,Sparse
800,1000,1122,Sparse
800,1000,1107,Sparse
800,1000,1185,Sparse
1008,1000,1544,Sparse
1008,1000,1496,Sparse
1008,1000,1590,Sparse
1008,1000,1559,Sparse
1008,1000,1513,Sparse
1008,1000,1512,Sparse
1008,1000,1481,Sparse
1008,1000,1559,Sparse
1008,1000,1591,Sparse
1008,1000,1481,Sparse
1270,1000,2074,Sparse
1270,1000,2089,Sparse
1270,1000,2090,Sparse
1270,1000,2105,Sparse
1270,1000,2230,Sparse
1270,1000,2152,Sparse
1270,1000,2058,Sparse
1270,1000,2027,Sparse
1270,1000,2120,Sparse
1270,1000,2199,Sparse
1601,1000,2900,Sparse
1601,1000,2854,Sparse
1601,1000,2838,Sparse
1601,1000,2869,Sparse
1601,1000,2979,Sparse
1601,1000,2776,Sparse
1601,1000,2823,Sparse
1601,1000,2823,Sparse
1601,1000,2854,Sparse
1601,1000,2948,Sparse
2017,1000,3962,Sparse
2017,1000,4008,Sparse
2017,1000,3868,Sparse
2017,1000,3962,Sparse
2017,1000,3868,Sparse
2017,1000,4071,Sparse
2017,1000,3992,Sparse
2017,1000,3946,Sparse
2017,1000,3899,Sparse
2017,1000,3914,Sparse
2542,1000,5443,Sparse
2542,1000,5397,Sparse
2542,1000,5397,Sparse
2542,1000,5412,Sparse
2542,1000,5396,Sparse
2542,1000,5335,Sparse
2542,1000,5396,Sparse
2542,1000,5506,Sparse
2542,1000,5444,Sparse
2542,1000,5443,Sparse
3203,1000,7456,Sparse
3203,1000,7487,Sparse
3203,1000,7425,Sparse
3203,1000,7519,Sparse
3203,1000,7440,Sparse
3203,1000,7472,Sparse
3203,1000,7487,Sparse
3203,1000,7394,Sparse
3203,1000,7378,Sparse
3203,1000,7393,Sparse
4035,1000,10358,Sparse
4035,1000,10202,Sparse
4035,1000,10373,Sparse
4035,1000,10295,Sparse
4035,1000,10420,Sparse
4035,1000,10218,Sparse
4035,1000,10232,Sparse
4035,1000,10248,Sparse
4035,1000,10342,Sparse
4035,1000,10248,Sparse
5085,1000,14226,Sparse
5085,1000,14320,Sparse
5085,1000,14164,Sparse
5085,1000,14242,Sparse
5085,1000,14398,Sparse
5085,1000,14133,Sparse
5085,1000,14195,Sparse
5085,1000,14460,Sparse
5085,1000,14367,Sparse
5085,1000,14460,Sparse
6407,1000,15000,Sparse
6407,1000,15000,Sparse
6407,1000,15000,Sparse
6407,1000,15000,Sparse
6407,1000,15000,Sparse
6407,1000,15000,Sparse
6407,1000,15000,Sparse
6407,1000,15000,Sparse
6407,1000,15000,Sparse
6407,1000,15000,Sparse
8073,1000,15000,Sparse
8073,1000,15000,Sparse
8073,1000,15000,Sparse
8073,1000,15000,Sparse
8073,1000,15000,Sparse
8073,1000,15000,Sparse
8073,1000,15000,Sparse
8073,1000,15000,Sparse
8073,1000,15000,Sparse
8073,1000,15000,Sparse
10172,1000,15000,Sparse
10172,1000,15000,Sparse
10172,1000,15000,Sparse
10172,1000,15000,Sparse
10172,1000,15000,Sparse
10172,1000,15000,Sparse
10172,1000,15000,Sparse
10172,1000,15000,Sparse
10172,1000,15000,Sparse
10172,1000,15000,Sparse
12816,1000,15000,Sparse
12816,1000,15000,Sparse
12816,1000,15000,Sparse
12816,1000,15000,Sparse
12816,1000,15000,Sparse
12816,1000,15000,Sparse
12816,1000,15000,Sparse
12816,1000,15000,Sparse
12816,1000,15000,Sparse
12816,1000,15000,Sparse
16149,1000,15000,Sparse
16149,1000,15000,Sparse
16149,1000,15000,Sparse
16149,1000,15000,Sparse
16149,1000,15000,Sparse
16149,1000,15000,Sparse
16149,1000,15000,Sparse
16149,1000,15000,Sparse
16149,1000,15000,Sparse
16149,1000,15000,Sparse
20348,1000,15000,Sparse
20348,1000,15000,Sparse
20348,1000,15000,Sparse
20348,1000,15000,Sparse
20348,1000,15000,Sparse
20348,1000,15000,Sparse
20348,1000,15000,Sparse
20348,1000,15000,Sparse
20348,1000,15000,Sparse
20348,1000,15000,Sparse
25638,1000,15000,Sparse
25638,1000,15000,Sparse
25638,1000,15000,Sparse
25638,1000,15000,Sparse
25638,1000,15000,Sparse
25638,1000,15000,Sparse
25638,1000,15000,Sparse
25638,1000,15000,Sparse
25638,1000,15000,Sparse
25638,1000,15000,Sparse
32304,1000,15000,Sparse
32304,1000,15000,Sparse
32304,1000,15000,Sparse
32304,1000,15000,Sparse
32304,1000,15000,Sparse
32304,1000,15000,Sparse
32304,1000,15000,Sparse
32304,1000,15000,Sparse
32304,1000,15000,Sparse
32304,1000,15000,Sparse
40703,1000,15000,Sparse
40703,1000,15000,Sparse
40703,1000,15000,Sparse
40703,1000,15000,Sparse
40703,1000,15000,Sparse
40703,1000,15000,Sparse
40703,1000,15000,Sparse
40703,1000,15000,Sparse
40703,1000,15000,Sparse
40703,1000,15000,Sparse
51286,1000,15000,Sparse
51286,1000,15000,Sparse
51286,1000,15000,Sparse
51286,1000,15000,Sparse
51286,1000,15000,Sparse
51286,1000,15000,Sparse
51286,1000,15000,Sparse
51286,1000,15000,Sparse
51286,1000,15000,Sparse
51286,1000,15000,Sparse
64621,1000,15000,Sparse
64621,1000,15000,Sparse
64621,1000,15000,Sparse
64621,1000,15000,Sparse
64621,1000,15000,Sparse
64621,1000,15000,Sparse
64621,1000,15000,Sparse
64621,1000,15000,Sparse
64621,1000,15000,Sparse
64621,1000,15000,Sparse
81422,1000,15000,Sparse
81422,1000,15000,Sparse
81422,1000,15000,Sparse
81422,1000,15000,Sparse
81422,1000,15000,Sparse
81422,1000,15000,Sparse
81422,1000,15000,Sparse
81422,1000,15000,Sparse
81422,1000,15000,Sparse
81422,1000,15000,Sparse
102592,1000,15000,Sparse
102592,1000,15000,Sparse
102592,1000,15000,Sparse
102592,1000,15000,Sparse
102592,1000,15000,Sparse
102592,1000,15000,Sparse
102592,1000,15000,Sparse
102592,1000,15000,Sparse
102592,1000,15000,Sparse
102592,1000,15000,Sparse
100,1000,15000,Dense
100,1000,15000,Dense
100,1000,15000,Dense
100,1000,15000,Dense
100,1000,15000,Dense
100,1000,15000,Dense
100,1000,15000,Dense
100,1000,15000,Dense
100,1000,15000,Dense
100,1000,15000,Dense
126,1000,15000,Dense
126,1000,15000,Dense
126,1000,15000,Dense
126,1000,15000,Dense
126,1000,14133,Dense
126,1000,14055,Dense
126,1000,15000,Dense
126,1000,15000,Dense
126,1000,14226,Dense
126,1000,15000,Dense
158,1000,11934,Dense
158,1000,12214,Dense
158,1000,12604,Dense
158,1000,15000,Dense
158,1000,12245,Dense
158,1000,12713,Dense
158,1000,13478,Dense
158,1000,12027,Dense
158,1000,12744,Dense
158,1000,12557,Dense
200,1000,10202,Dense
200,1000,10357,Dense
200,1000,10982,Dense
200,1000,10982,Dense
200,1000,10092,Dense
200,1000,10560,Dense
200,1000,10389,Dense
200,1000,9655,Dense
200,1000,10311,Dense
200,1000,11013,Dense
252,1000,8407,Dense
252,1000,9109,Dense
252,1000,9297,Dense
252,1000,7830,Dense
252,1000,8688,Dense
252,1000,8127,Dense
252,1000,8360,Dense
252,1000,8533,Dense
252,1000,8189,Dense
252,1000,8750,Dense
317,1000,6707,Dense
317,1000,7081,Dense
317,1000,6723,Dense
317,1000,6754,Dense
317,1000,7035,Dense
317,1000,7144,Dense
317,1000,7019,Dense
317,1000,7238,Dense
317,1000,6942,Dense
317,1000,7113,Dense
400,1000,5865,Dense
400,1000,5584,Dense
400,1000,5990,Dense
400,1000,5600,Dense
400,1000,5942,Dense
400,1000,5615,Dense
400,1000,5537,Dense
400,1000,5521,Dense
400,1000,5724,Dense
400,1000,6005,Dense
504,1000,4788,Dense
504,1000,4850,Dense
504,1000,4836,Dense
504,1000,4648,Dense
504,1000,5194,Dense
504,1000,4835,Dense
504,1000,4788,Dense
504,1000,4492,Dense
504,1000,4804,Dense
504,1000,4882,Dense
635,1000,4195,Dense
635,1000,4008,Dense
635,1000,4118,Dense
635,1000,4289,Dense
635,1000,3992,Dense
635,1000,4040,Dense
635,1000,4071,Dense
635,1000,4024,Dense
635,1000,4429,Dense
635,1000,4040,Dense
800,1000,3384,Dense
800,1000,3571,Dense
800,1000,3478,Dense
800,1000,3509,Dense
800,1000,3540,Dense
800,1000,3384,Dense
800,1000,3478,Dense
800,1000,3447,Dense
800,1000,3338,Dense
800,1000,3415,Dense
1008,1000,2854,Dense
1008,1000,3026,Dense
1008,1000,2932,Dense
1008,1000,2979,Dense
1008,1000,2870,Dense
1008,1000,2916,Dense
1008,1000,3135,Dense
1008,1000,2885,Dense
1008,1000,2932,Dense
